entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
7707,2,[47932.41  46207.598],[ 0.38130623 -0.39873043],[-1.6006817  1.8569845],[2224.2898 1118.2516],[6117.966    0.   ],[ True  True],100.28610545577065
7784,2,[56654.176 33945.453],[-0.5226334 -1.8249041],[ 0.4205151 -2.8811212],[-984.97723 3267.969  ],[   0.    8397.174],[ True  True],106.73675769413903
7800,2,[151286.39  36315.26],[0.82134116 1.3429931 ],[ 0.18439093 -1.6042279 ],[ 121.818054 -795.48157 ],[0. 0.],[ True  True],122.03199487538
7817,2,[74783.305 55292.75 ],[0.995705  1.5202744],[-0.28294834  3.0039392 ],[-330.91113 3139.9795 ],[0. 0.],[ True  True],132.72876818605442
7830,2,[43620.547 38363.016],[-2.2819471 -0.7100852],[-2.087757   0.9919864],[ 144.02354 1959.0842 ],[0. 0.],[ True  True],108.38100411231521
7937,2,[71066.555 52450.543],[0.7807616  0.81859624],[ 1.4212517 -1.3993887],[3485.921  1803.9966],[ 3559.2258 16861.723 ],[ True  True],120.55940252412739
8003,2,[63823.336 30178.383],[-1.0411124  1.1480459],[ 2.2294247 -2.0305216],[-383.05344 -812.2563 ],[1075.5448    0.    ],[ True  True],138.18565402738702
8041,2,[50518.875 43887.035],[1.7120473 0.8984048],[3.075013   0.33806142],[ 186.81934 -194.59152],[0. 0.],[ True  True],100.30428974270521
8088,2,[60070.4   47116.918],[-0.12282256 -0.07780425],[ 2.4280705 -0.9203947],[ 674.92596 2223.68   ],[2207.0925    0.    ],[ True  True],105.86013869377227
8097,2,[73612.78  42066.008],[2.1074123 1.1914968],[-0.55970645  3.040776  ],[470.8119   73.34866],[3289.4675 1327.943 ],[ True  True],120.54112264682476
8131,2,[61173.797 30760.898],[ 0.559813  -1.0213301],[-1.841551    0.20242244],[2006.1776 2588.5212],[   0.     6431.8774],[ True  True],106.05926813234323
8219,2,[95555.77  67012.375],[-0.76062614 -0.46017128],[-1.575446   2.0165784],[ 380.956   -365.03644],[0. 0.],[ True  True],157.85668183932773
8232,2,[66052.99 34989.09],[-0.27231812  0.8252193 ],[-1.8461148  1.535308 ],[2490.3218  839.7188],[3247.9475    0.    ],[ True  True],110.39534106150269
8296,2,[58985.008 48710.473],[1.5563709 1.9884411],[ 2.7677727 -1.1986886],[2876.9377 1648.1089],[0. 0.],[ True  True],100.95023448025817
8355,2,[42696.996 31559.328],[ 1.6676933  -0.63476986],[-1.4735544  1.9899061],[-433.04095   54.07956],[1150.0784    0.    ],[ True  True],127.14002437268225
8430,2,[99769.11  56846.348],[-0.25482637 -0.5525506 ],[0.22045045 3.1283789 ],[1574.6199  285.1664],[0. 0.],[ True  True],151.27534912821778
8622,2,[70178.984 37606.066],[-2.1321042  -0.34159997],[-1.8719872  2.8591604],[-177.56158 -776.16327],[   0.    2856.229],[ True  True],127.10811050566103
8833,2,[48689.832 43593.52 ],[-2.1318204   0.11202274],[-2.1716769  1.9046052],[1217.321  786.239],[   0.     3323.8125],[ True  True],150.86974870596782
8836,2,[57423.785 43482.863],[-1.0866288   0.90662104],[-1.1522136   0.98348236],[-128.37689 1722.9875 ],[7161.5166 2079.2703],[ True  True],146.08077129085936
8839,2,[68282.75 50344.58],[-0.4340699 -1.2039945],[-1.5622478  1.5412518],[-611.5244     49.117096],[0. 0.],[ True  True],126.04025193057838
9018,2,[50605.977 36726.395],[0.14669463 2.169789  ],[-1.2395551  2.2343235],[514.588  529.3138],[0. 0.],[ True  True],133.4674920805349
9040,2,[60963.758 42402.336],[-2.2058787 -0.535508 ],[-0.03758929  3.1290736 ],[ -25.63556 1114.4565 ],[0. 0.],[ True  True],139.25481467570094
9052,2,[63615.586 32175.945],[ 1.3003261 -0.8733408],[ 0.5600082 -2.3056436],[398.48718 -45.5271 ],[0. 0.],[ True  True],148.87875462133474
9085,2,[64414.902 46368.414],[-0.7868913  0.838699 ],[ 0.6855492 -2.5138474],[3899.1638 -406.7739],[ 8872.727 36437.5  ],[ True  True],147.40662526074252
9165,2,[46489.703 38048.598],[ 1.7421021  -0.01161221],[ 1.9892089  -0.45235255],[-141.63882 -359.8534 ],[   0.     1412.2854],[ True  True],115.01736259928116
9195,2,[56992.492 47746.44 ],[-1.2358792  0.5407589],[ 0.689613  -2.7296546],[-265.09045  234.19284],[2331.7842    0.    ],[ True  True],147.5684601199285
9217,2,[71421.21 35451.98],[-1.1395292  -0.05818328],[ 2.7855089  -0.26832658],[ 756.1493 -897.6189],[0. 0.],[ True  True],115.6257148591502
9219,2,[65391.64 46004.69],[0.6447302 1.7843989],[-0.10594171  2.404597  ],[-867.1869 1550.5   ],[1464.109  1253.1445],[ True  True],123.3836480015773
9319,2,[87979.91  34892.035],[0.98123616 0.21005192],[-0.41429755  2.0525734 ],[79.10181 38.76297],[0. 0.],[ True  True],113.3660863580956
9324,2,[66212.18  33708.812],[ 0.34509978 -0.5156262 ],[-2.8876996   0.32689998],[-518.0647 1304.5813],[    0.    18116.436],[ True  True],103.31510305021578
9354,2,[53676.8   40554.805],[0.03965418 1.1197761 ],[ 1.3566226 -1.5616132],[ 806.2318  -588.02295],[0. 0.],[ True  True],106.75031073177956
9355,2,[78891.88  48758.023],[-0.34506   1.223342],[ 2.3816276 -1.3839846],[-901.6527    81.41156],[1330.9364    0.    ],[ True  True],159.70181409761636
9433,2,[43996.82 41385.19],[ 0.9612189 -0.575566 ],[ 1.6343666 -0.9919495],[2669.703  1000.4768],[3523.8538    0.    ],[ True  True],109.6653911281838
9467,2,[50518.547 48663.324],[-0.12587102 -0.9369531 ],[-1.1247982  1.7667202],[  77.17648 -560.10474],[0. 0.],[ True  True],106.71718118567114
9615,2,[45336.18 35194.76],[ 0.89013493 -1.5227919 ],[-0.97751427  2.0473163 ],[ 697.53174 3674.3806 ],[0. 0.],[ True  True],145.36067995326619
9704,2,[127571.55  35387.22],[-0.4755049   0.52273196],[-0.25884736  1.7224945 ],[-133.30963  180.28375],[0. 0.],[ True  True],132.35168879345755
9737,2,[72968.734 68235.71 ],[-0.87259007 -0.69433355],[ 3.011334   -0.13964812],[1092.0807 1640.0883],[0. 0.],[ True  True],141.6844601683868
9758,2,[88904.01  38494.863],[ 0.39443564 -0.48460034],[ 2.1237726  -0.98770434],[-981.2979 -876.4693],[   0.     1445.9531],[ True  True],128.4736487852959
9800,2,[90536.72  32599.102],[ 0.00697245 -1.2100047 ],[-0.9982431  0.7615188],[  -2.3628235 -490.58365  ],[   0.    4269.323],[ True  True],109.3142934752293
9848,2,[50039.473 32908.82 ],[ 1.2426023  -0.65225536],[-2.173598   -0.53971034],[1778.5789 1281.7446],[7837.4688 5405.383 ],[ True  True],106.81142868261884
9857,2,[76068.84  47358.598],[-0.75072896 -1.1139367 ],[-2.5137334  0.864783 ],[1694.1616   214.78937],[1109.5751    0.    ],[ True  True],121.19929988214356
9873,2,[77896.49  46004.355],[ 0.04726582 -0.78121656],[0.06954604 2.9969752 ],[-190.25189  242.48462],[0. 0.],[ True  True],129.5153747614187
9953,2,[42387.016 40951.836],[-0.01786762  1.2720667 ],[-2.1486454  1.2078328],[-423.81317 -489.0835 ],[0. 0.],[ True  True],100.87185907790044
10169,2,[64556.945 45815.777],[1.795535 1.803209],[-2.4650571  0.6981422],[-292.49362 2602.7747 ],[   0.    5719.149],[ True  True],108.76442406605632
10204,2,[59165.19  46940.605],[-1.3390589 -1.091609 ],[-1.5372336  1.6511302],[-547.4675   373.75433],[   0.    2579.977],[ True  True],106.17838718483883
10302,2,[84014.06  45102.566],[1.6811428 1.3082772],[ 1.8151008 -1.8636533],[-153.40317    16.918701],[0. 0.],[ True  True],120.92404636849646
