entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
5196,2,[64659.984 37062.61 ],[-0.18508741 -1.5797343 ],[ 1.8510427 -1.0080377],[1990.7914  -214.47107],[0. 0.],[ True  True],121.9153007993239
5267,2,[57803.42  48086.805],[0.83550817 0.8859938 ],[-1.8100051  1.2848029],[2173.3835  762.0974],[0. 0.],[ True  True],105.44823707935221
5350,2,[51750.562 43899.72 ],[1.8438225 0.9600131],[-1.3643258  1.7775614],[-347.87106 1707.7968 ],[0. 0.],[ True  True],104.78777008262415
5364,2,[88914.03  64177.645],[1.0014197 1.0351818],[-2.7902498  1.836513 ],[ 153.6618 -478.3639],[0. 0.],[ True  True],111.33334178195305
5492,2,[48038.277 33469.785],[ 1.1933368 -0.408802 ],[0.17903572 2.8916743 ],[-659.48334 1058.8861 ],[   0.     1029.9731],[ True  True],105.96668517186491
5569,2,[51055.625 31479.35 ],[ 1.3458927  -0.16685519],[-0.29751953  3.0924227 ],[3799.6013   631.40485],[9364.416  3236.8972],[ True  True],103.75557542146694
5601,2,[44478.195 36541.223],[ 0.7453568 -0.9875176],[-1.137557   0.8533942],[1085.7788 3955.8235],[    0.    13566.868],[ True  True],103.95817254782483
5673,2,[54269.56 50070.6 ],[0.21422373 0.13762301],[ 2.8451095  -0.07386988],[ 136.01212 -992.5866 ],[1710.261    0.   ],[ True  True],103.68743546075045
5694,2,[286605.5  105577.15],[-0.78390694 -1.243365  ],[1.8661867 1.4000201],[3288.022  1493.2134],[1077.0857    0.    ],[ True  True],113.83449535965606
5881,2,[124544.01   31542.986],[0.58164424 1.5893451 ],[ 0.17742558 -1.5064576 ],[303.49426 896.51105],[   0.    7401.121],[ True  True],114.37678512788665
5946,2,[57722.996 53522.445],[-0.50115985  0.39266947],[ 2.824978  -1.4688076],[-512.1333 1718.2888],[   0.     6855.6084],[ True  True],106.43143844547807
5951,2,[66204.68  52375.312],[-0.5365806  -0.14764357],[-2.8001792   0.29280186],[ -6.350281 -62.75479 ],[   0.     1384.3573],[ True  True],119.97062511962639
5975,2,[62281.14  41312.676],[1.6478109  0.38070762],[-1.0249287  1.2379863],[1271.6011 1290.7573],[39086.54     0.  ],[ True  True],114.64847737753585
5981,2,[70335.55  35976.445],[-2.2425756 -0.9450263],[ 1.5319014  -0.07817585],[ 552.01984 -213.55508],[5151.5093    0.    ],[ True  True],100.75814104641275
6000,2,[80446.29 55461.68],[0.14193325 0.95793957],[ 2.6744115 -1.0492918],[ 358.7994  -767.32556],[4016.3232    0.    ],[ True  True],139.70161907862052
6029,2,[95488.39  43216.234],[-0.5205101  -0.26482642],[-2.9673355   0.01381906],[413.49454   23.754639],[0. 0.],[ True  True],129.11951692430102
